ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
13-08,11364,9,0,0,0,0,0,9,0,29
13-08,11365,16,0,5,0,0,0,11,0,39
13-08,11366,3,0,1,0,0,0,2,0,24
13-08,11367,18,0,3,0,2,0,13,0,47
13-08,11368,44,0,9,0,6,0,29,0,94
13-08,11369,11,0,0,0,1,0,10,0,54
13-08,11370,15,0,2,0,1,0,12,0,38
13-08,11372,20,1,9,1,6,0,5,0,111
13-08,11373,28,0,10,0,5,0,13,0,101
13-08,11374,7,0,3,0,1,0,3,0,55
13-08,11375,14,0,2,0,3,0,9,0,74
13-08,11377,46,0,6,0,6,0,34,0,118
13-08,11378,11,0,0,0,4,0,7,0,76
13-08,11379,10,0,3,0,1,0,6,0,45
13-08,11385,42,1,8,0,2,0,32,1,142
13-08,11411,10,0,1,0,0,0,9,0,24
13-08,11412,20,0,4,0,1,0,15,0,45
13-08,11413,23,1,2,1,1,0,20,0,66
13-08,11414,13,1,1,0,0,1,12,0,39
13-08,11415,1,0,1,0,0,0,0,0,26
13-08,11416,15,0,2,0,3,0,10,0,27
13-08,11417,23,0,0,0,1,0,22,0,55
13-08,11418,22,0,3,0,3,0,16,0,55
13-08,11419,20,0,4,0,2,0,14,0,66
13-08,11420,19,0,3,0,0,0,16,0,68
13-08,11421,19,0,5,0,5,0,9,0,41
13-08,11422,19,1,2,1,0,0,17,0,74
13-08,11423,20,0,0,0,0,0,20,0,41
13-08,11426,6,0,0,0,2,0,4,0,23
13-08,11427,8,0,1,0,0,0,7,0,37
13-08,11428,15,0,2,0,0,0,13,0,28
13-08,11429,19,0,1,0,2,0,16,0,32
13-08,11432,25,0,8,0,1,0,16,0,88
13-08,11433,19,0,4,0,3,0,12,0,51
13-08,11434,42,0,6,0,2,0,34,0,125
13-08,11435,18,0,6,0,0,0,12,0,56
13-08,11436,7,0,0,0,1,0,6,0,23
13-08,11691,22,2,6,0,1,0,15,2,55
13-08,11692,8,0,1,0,0,0,7,0,22
13-08,11693,5,0,0,0,0,0,5,0,22
13-08,11694,12,0,0,0,1,0,11,0,26
13-09,10000,1,0,0,0,0,0,1,0,1
13-09,10001,28,0,5,0,6,0,17,0,148
13-09,10002,55,0,18,0,13,0,24,0,168
13-09,10003,18,0,10,0,3,0,5,0,111
13-09,10004,4,0,3,0,0,0,1,0,26
13-09,10005,1,0,0,0,0,0,1,0,8
13-09,10006,3,0,0,0,0,0,3,0,10
13-09,10007,5,0,4,0,1,0,0,0,43
13-09,10009,12,0,2,0,6,0,4,0,64
13-09,10010,32,0,15,0,7,0,10,0,100
13-09,10011,21,0,4,0,4,0,13,0,133
13-09,10012,22,0,8,0,6,0,8,0,104
13-09,10013,33,0,15,0,2,0,16,0,181
13-09,10014,11,0,3,0,2,0,6,0,87
13-09,10016,41,0,15,0,9,0,17,0,167
13-09,10017,18,0,5,0,4,0,9,0,114
13-09,10018,29,0,2,0,2,0,25,0,133
13-09,10019,37,1,13,0,7,0,17,1,196
13-09,10020,0,0,0,0,0,0,0,0,7
13-09,10021,14,0,5,0,4,0,5,0,75
13-09,10022,24,0,12,0,6,0,6,0,227
13-09,10023,8,0,2,0,2,0,4,0,88
13-09,10024,6,0,5,0,0,0,1,0,73
13-09,10025,25,0,4,0,3,0,18,0,83
13-09,10026,12,0,2,0,3,0,7,0,33
13-09,10027,28,0,11,0,3,0,14,0,110
13-09,10028,6,0,2,0,2,0,2,0,58
13-09,10029,30,0,2,0,5,0,23,0,101
13-09,10030,7,0,3,0,2,0,2,0,37
13-09,10031,10,0,5,0,0,0,5,0,55
13-09,10032,24,0,7,0,2,0,15,0,63
13-09,10033,15,0,6,0,0,0,9,0,55
13-09,10034,18,0,2,0,3,0,13,0,51
13-09,10035,27,0,11,0,2,0,14,0,86
13-09,10036,16,0,9,0,3,0,4,0,187
13-09,10037,10,0,4,0,2,0,4,0,29
13-09,10038,16,0,3,0,1,0,12,0,40
13-09,10039,3,0,1,0,0,0,2,0,13
13-09,10040,8,0,4,0,3,0,1,0,34
13-09,10065,15,0,5,0,5,0,5,0,128
13-09,10069,1,0,0,0,0,0,1,0,2
13-09,10075,15,0,4,0,4,0,7,0,59
13-09,10111,0,0,0,0,0,0,0,0,1
13-09,10128,7,0,2,0,1,0,4,0,74
13-09,10280,0,0,0,0,0,0,0,0,1
13-09,10282,1,0,1,0,0,0,0,0,1
13-09,10301,15,0,2,0,1,0,12,0,83
13-09,10302,0,0,0,0,0,0,0,0,2
13-09,10304,19,0,2,0,2,0,15,0,78
13-09,10305,11,0,2,0,1,0,8,0,59
13-09,10306,35,0,1,0,1,0,33,0,104
13-09,10307,0,0,0,0,0,0,0,0,8
13-09,10308,12,0,1,0,1,0,10,0,31
13-09,10309,9,0,0,0,0,0,9,0,43
13-09,10310,11,0,1,0,1,0,9,0,37
13-09,10312,20,0,3,0,0,0,17,0,80
13-09,10314,3,0,0,0,0,0,3,0,26
13-09,10451,32,0,7,0,1,0,24,0,75
13-09,10452,13,1,3,1,1,0,9,0,61
13-09,10453,29,0,10,0,1,0,18,0,71
13-09,10454,15,0,6,0,3,0,6,0,56
13-09,10455,25,0,8,0,3,0,14,0,62
13-09,10456,31,1,9,1,0,0,22,0,69
13-09,10457,37,0,9,0,2,0,26,0,97
13-09,10458,33,0,10,0,1,0,22,0,86
13-09,10459,21,0,7,0,1,0,13,0,76
13-09,10460,37,0,10,0,2,0,25,0,90
13-09,10461,34,0,7,0,1,0,26,0,70
13-09,10462,15,0,3,0,4,0,8,0,89
13-09,10463,26,0,4,0,2,0,20,0,84
13-09,10464,10,0,1,0,1,0,8,0,11
13-09,10465,18,0,4,0,0,0,14,0,49
13-09,10466,25,0,2,0,4,0,19,0,100
13-09,10467,42,0,11,0,2,0,29,0,136
13-09,10468,22,0,8,0,1,0,13,0,71
13-09,10469,35,0,6,0,2,0,27,0,76
13-09,10470,14,0,2,0,0,0,12,0,42
13-09,10471,10,0,1,0,0,0,9,0,17
13-09,10472,31,0,8,0,2,0,21,0,71
13-09,10473,13,0,4,0,2,0,7,0,46
13-09,10474,5,0,1,0,0,0,4,0,27
13-09,10475,4,0,0,0,0,0,4,0,35
13-09,11001,3,0,0,0,0,0,3,0,10
13-09,11004,8,0,0,0,0,0,8,0,20
13-09,11005,0,0,0,0,0,0,0,0,1
13-09,11040,1,0,1,0,0,0,0,0,3
13-09,11101,45,2,12,1,6,0,27,1,170
13-09,11102,3,0,0,0,0,0,3,0,26
13-09,11103,16,0,5,0,5,0,6,0,48
13-09,11104,7,0,4,0,0,0,3,0,34
13-09,11105,11,2,3,0,0,0,8,2,43
13-09,11106,28,0,6,0,4,0,18,0,55
13-09,11109,0,0,0,0,0,0,0,0,1
13-09,11201,27,0,9,0,8,0,10,0,219
13-09,11203,97,0,15,0,5,0,77,0,176
13-09,11204,25,0,8,0,2,0,15,0,84
13-09,11205,23,0,3,0,4,0,16,0,80
13-09,11206,47,0,14,0,7,0,26,0,112
13-09,11207,93,0,18,0,12,0,63,0,221
13-09,11208,51,0,8,0,0,0,43,0,112
13-09,11209,21,0,4,0,6,0,11,0,74
13-09,11210,42,0,7,0,4,0,31,0,86
13-09,11211,41,0,7,0,11,0,23,0,117
13-09,11212,64,1,9,0,0,0,55,1,109
13-09,11213,96,0,14,0,8,0,74,0,129
13-09,11214,28,0,8,0,5,0,15,0,78
13-09,11215,27,0,6,0,10,0,11,0,108
13-09,11216,33,0,5,0,6,0,22,0,117
13-09,11217,33,0,6,0,8,0,19,0,119
13-09,11218,24,0,6,0,5,0,13,0,86
13-09,11219,20,0,7,0,3,0,10,0,97
13-09,11220,43,2,8,1,6,0,29,1,121
13-09,11221,45,0,11,0,9,0,25,0,99
13-09,11222,19,0,1,0,6,0,12,0,83
13-09,11223,29,0,4,0,2,0,23,0,94
13-09,11224,4,0,2,0,0,0,2,0,47
13-09,11225,35,0,12,0,2,0,21,0,77
13-09,11226,60,0,19,0,8,0,33,0,157
13-09,11228,11,1,3,1,1,0,7,0,37
13-09,11229,27,0,8,0,1,0,18,0,70
13-09,11230,29,0,12,0,2,0,15,0,104
13-09,11231,6,0,1,0,1,0,4,0,41
13-09,11232,17,0,4,0,4,0,9,0,65
13-09,11233,55,0,10,0,7,0,38,0,109
13-09,11234,37,0,8,0,4,0,25,0,124
13-09,11235,28,0,6,0,2,0,20,0,115
13-09,11236,93,0,12,0,2,0,79,0,141
13-09,11237,28,0,4,0,6,0,18,0,77
13-09,11238,32,0,11,0,7,0,14,0,87
13-09,11239,11,0,3,0,0,0,8,0,10
13-09,11249,6,0,1,0,2,0,3,0,33
13-09,11354,25,0,8,0,0,0,17,0,110
13-09,11355,33,0,14,0,2,0,17,0,114
13-09,11356,9,0,4,0,0,0,5,0,31
13-09,11357,13,0,2,0,1,0,10,0,39
13-09,11358,9,0,2,0,1,0,6,0,52
13-09,11360,2,0,2,0,0,0,0,0,17
13-09,11361,8,0,3,0,0,0,5,0,56
13-09,11362,0,0,0,0,0,0,0,0,17
13-09,11363,7,0,0,0,0,0,7,0,12
13-09,11364,16,0,2,0,0,0,14,0,47
13-09,11365,13,0,2,0,0,0,11,0,39
13-09,11366,9,0,3,0,1,0,5,0,36
13-09,11367,6,0,1,0,0,0,5,0,36
13-09,11368,31,1,7,0,6,0,18,1,99
13-09,11369,7,0,0,0,2,0,5,0,55
13-09,11370,25,0,0,0,1,0,24,0,50
13-09,11372,17,0,5,0,8,0,4,0,88
13-09,11373,31,1,12,1,1,0,18,0,116
13-09,11374,21,0,7,0,1,0,13,0,63
13-09,11375,24,1,11,1,0,0,13,0,88
13-09,11377,35,2,15,1,2,0,18,1,125
13-09,11378,25,0,10,0,5,0,10,0,76
13-09,11379,11,0,2,0,1,0,8,0,47
13-09,11385,24,0,6,0,6,0,12,0,126
13-09,11411,18,0,3,0,1,0,14,0,27
13-09,11412,44,0,5,0,4,0,35,0,64
13-09,11413,17,0,3,0,1,0,13,0,73
13-09,11414,9,0,1,0,1,0,7,0,33
13-09,11415,3,0,2,0,0,0,1,0,29
13-09,11416,15,0,1,0,2,0,12,0,42
13-09,11417,25,0,4,0,2,0,19,0,61
13-09,11418,7,0,0,0,1,0,6,0,52
13-09,11419,27,1,4,1,2,0,21,0,71
13-09,11420,33,0,1,0,2,0,30,0,69
13-09,11421,12,0,0,0,2,0,10,0,54
13-09,11422,36,0,2,0,2,0,32,0,79
13-09,11423,18,0,4,0,0,0,14,0,34
13-09,11426,3,0,0,0,0,0,3,0,22
13-09,11427,6,0,1,0,0,0,5,0,27
13-09,11428,6,0,1,0,1,0,4,0,39
13-09,11429,13,0,3,0,3,0,7,0,35
13-09,11430,1,0,0,0,0,0,1,0,5
13-09,11432,21,0,9,0,1,0,11,0,108
13-09,11433,19,1,2,1,0,0,17,0,55
13-09,11434,40,0,6,0,3,0,31,0,141
13-09,11435,21,0,5,0,1,0,15,0,75
13-09,11436,10,0,1,0,2,0,7,0,22
13-09,11691,23,0,5,0,1,0,17,0,49
13-09,11692,2,0,1,0,1,0,0,0,15
13-09,11693,4,0,0,0,0,0,4,0,10
13-09,11694,7,0,0,0,0,0,7,0,19
13-09,11695,4,0,0,0,0,0,4,0,1
13-10,10001,24,0,10,0,4,0,10,0,158
13-10,10002,37,0,11,0,7,0,19,0,157
13-10,10003,28,0,8,0,9,0,11,0,135
13-10,10004,2,0,1,0,0,0,1,0,30
13-10,10005,4,0,3,0,1,0,0,0,18
13-10,10006,2,0,0,0,0,0,2,0,17
13-10,10007,3,0,2,0,1,0,0,0,45
13-10,10009,28,0,8,0,10,0,10,0,83
13-10,10010,28,0,7,0,9,0,12,0,102
13-10,10011,20,0,7,0,3,0,10,0,142
13-10,10012,13,0,5,0,2,0,6,0,89
13-10,10013,15,0,7,0,0,0,8,0,141
13-10,10014,30,0,10,0,1,0,19,0,74
13-10,10016,59,0,19,0,6,0,34,0,238
13-10,10017,12,0,6,0,3,0,3,0,124
13-10,10018,10,0,6,0,0,0,4,0,115
13-10,10019,29,0,18,0,4,0,7,0,209
13-10,10020,1,0,0,0,1,0,0,0,12
13-10,10021,7,0,4,0,1,0,2,0,64
13-10,10022,28,0,11,0,5,0,12,0,216
13-10,10023,14,0,2,0,4,0,8,0,84
13-10,10024,20,0,5,0,4,0,11,0,83
13-10,10025,19,0,6,0,6,0,7,0,106
13-10,10026,11,0,4,0,1,0,6,0,36
13-10,10027,31,0,4,0,4,0,23,0,111
13-10,10028,13,0,2,0,2,0,9,0,54
13-10,10029,21,0,9,0,3,0,9,0,119
13-10,10030,7,0,3,0,2,0,2,0,36
13-10,10031,8,0,1,0,3,0,4,0,49
13-10,10032,20,0,8,0,1,0,11,0,54
13-10,10033,14,1,3,1,4,0,7,0,62
13-10,10034,7,0,3,0,1,0,3,0,49
13-10,10035,38,0,8,0,2,0,28,0,96
13-10,10036,21,0,8,0,1,0,12,0,211
13-10,10037,9,0,2,0,3,0,4,0,23
13-10,10038,8,0,3,0,1,0,4,0,48
13-10,10039,2,0,0,0,1,0,1,0,18
13-10,10040,11,0,4,0,0,0,7,0,28
13-10,10065,14,0,4,0,2,0,8,0,138
13-10,10069,0,0,0,0,0,0,0,0,5
13-10,10075,1,0,1,0,0,0,0,0,40
13-10,10111,0,0,0,0,0,0,0,0,1
13-10,10128,12,0,3,0,1,0,8,0,79
13-10,10280,0,0,0,0,0,0,0,0,2
13-10,10281,0,0,0,0,0,0,0,0,1
13-10,10282,0,0,0,0,0,0,0,0,1
13-10,10301,21,0,3,0,0,0,18,0,82
13-10,10304,17,0,3,0,1,0,13,0,88
13-10,10305,25,0,6,0,3,0,16,0,92
13-10,10306,23,0,4,0,0,0,19,0,94
13-10,10307,1,0,0,0,0,0,1,0,10
13-10,10308,6,0,0,0,0,0,6,0,29
13-10,10309,14,0,2,0,0,0,12,0,51
13-10,10310,20,0,6,0,1,0,13,0,43
13-10,10312,22,0,3,0,1,0,18,0,89
13-10,10314,7,0,3,0,0,0,4,0,31
13-10,10451,33,1,12,1,1,0,20,0,98
13-10,10452,21,0,9,0,1,0,11,0,65
13-10,10453,20,0,8,0,1,0,11,0,55
13-10,10454,12,0,3,0,0,0,9,0,59
13-10,10455,17,0,4,0,1,0,12,0,49
13-10,10456,24,1,7,0,1,1,16,0,61
13-10,10457,19,0,4,0,2,0,13,0,80
13-10,10458,35,0,9,0,3,0,23,0,114
13-10,10459,23,0,6,0,3,0,14,0,65
13-10,10460,41,1,5,1,1,0,35,0,99
13-10,10461,22,1,4,1,0,0,18,0,73
13-10,10462,14,0,8,0,2,0,4,0,60
13-10,10463,19,0,6,0,0,0,13,0,63
13-10,10464,0,0,0,0,0,0,0,0,5
13-10,10465,5,0,1,0,0,0,4,0,36
13-10,10466,28,0,10,0,0,0,18,0,83
13-10,10467,47,0,13,0,1,0,33,0,139
13-10,10468,34,0,16,0,1,0,17,0,94
13-10,10469,50,0,11,0,1,0,38,0,77
13-10,10470,5,0,2,0,0,0,3,0,24
13-10,10471,4,0,0,0,0,0,4,0,17
13-10,10472,14,0,3,0,0,0,11,0,47
13-10,10473,18,0,3,0,2,0,13,0,46
13-10,10474,8,0,2,0,1,0,5,0,29
13-10,10475,15,0,4,0,0,0,11,0,42
13-10,11001,1,0,0,0,0,0,1,0,6
13-10,11004,3,0,1,0,0,0,2,0,30
13-10,11005,0,0,0,0,0,0,0,0,2
13-10,11040,0,0,0,0,0,0,0,0,3
13-10,11101,35,0,10,0,3,0,22,0,226
13-10,11102,5,0,3,0,2,0,0,0,36
13-10,11103,12,0,6,0,1,0,5,0,41
13-10,11104,9,0,5,0,0,0,4,0,34
13-10,11105,7,0,0,0,0,0,7,0,29
13-10,11106,18,0,6,0,3,0,9,0,66
13-10,11109,0,0,0,0,0,0,0,0,3
13-10,11201,28,1,7,0,5,1,16,0,165
13-10,11203,63,0,10,0,5,0,48,0,170
13-10,11204,30,0,8,0,4,0,18,0,97
13-10,11205,29,0,7,0,8,0,14,0,74
13-10,11206,32,1,9,0,7,0,16,1,107
13-10,11207,87,1,20,1,6,0,61,0,221
13-10,11208,55,0,10,0,2,0,43,0,121
13-10,11209,12,0,4,0,1,0,7,0,64
13-10,11210,38,0,13,0,5,0,20,0,99
13-10,11211,40,0,8,0,13,0,19,0,103
13-10,11212,66,0,15,0,1,0,50,0,119
13-10,11213,49,0,19,0,2,0,28,0,119
13-10,11214,34,0,6,0,2,0,26,0,86
13-10,11215,25,0,9,0,13,0,3,0,107
13-10,11216,52,0,10,0,8,0,34,0,121
13-10,11217,22,0,7,0,8,0,7,0,125
13-10,11218,37,0,9,0,5,0,23,0,92
13-10,11219,23,1,6,1,8,0,9,0,109
13-10,11220,35,0,9,0,7,0,19,0,132
13-10,11221,35,0,7,0,3,0,25,0,101
13-10,11222,12,0,3,0,1,0,8,0,102
13-10,11223,25,0,6,0,2,0,17,0,111
13-10,11224,14,0,6,0,2,0,6,0,46
13-10,11225,24,0,5,0,8,0,11,0,94
13-10,11226,65,0,23,0,5,0,37,0,143
13-10,11228,14,0,1,0,1,0,12,0,55
13-10,11229,25,0,6,0,6,0,13,0,91
13-10,11230,36,0,6,0,4,0,26,0,126
13-10,11231,23,0,5,0,3,0,15,0,62
13-10,11232,19,0,6,0,2,0,11,0,67
13-10,11233,54,0,12,0,6,0,36,0,136
13-10,11234,55,1,11,0,6,0,38,1,147
13-10,11235,29,0,13,0,1,0,15,0,105
13-10,11236,75,3,17,1,5,0,53,2,173
13-10,11237,19,0,5,0,3,0,11,0,76
13-10,11238,44,0,8,0,8,0,28,0,95
13-10,11239,2,0,2,0,0,0,0,0,15
13-10,11249,19,0,3,0,6,0,10,0,53
13-10,11354,24,0,7,0,2,0,15,0,113
13-10,11355,28,1,10,1,2,0,16,0,114
13-10,11356,6,0,1,0,0,0,5,0,39
13-10,11357,11,0,0,0,2,0,9,0,36
13-10,11358,10,0,1,0,1,0,8,0,47
13-10,11360,2,0,1,0,1,0,0,0,22
13-10,11361,9,0,2,0,2,0,5,0,66
13-10,11362,3,0,0,0,0,0,3,0,23
13-10,11363,2,0,1,0,0,0,1,0,26
13-10,11364,8,1,0,1,0,0,8,0,40
13-10,11365,5,0,0,0,0,0,5,0,28
13-10,11366,4,0,2,0,0,0,2,0,37
13-10,11367,24,0,13,0,1,0,10,0,87
13-10,11368,28,0,8,0,2,0,18,0,85
13-10,11369,13,0,4,0,1,0,8,0,53
13-10,11370,20,0,7,0,1,0,12,0,48
13-10,11372,28,1,5,1,5,0,18,0,110
13-10,11373,31,0,10,0,5,0,16,0,115
13-10,11374,14,0,4,0,1,0,9,0,62
13-10,11375,33,0,7,0,0,0,26,0,109
13-10,11377,41,0,9,0,4,0,28,0,121
13-10,11378,7,0,2,0,1,0,4,0,62
13-10,11379,9,0,2,0,1,0,6,0,52
13-10,11385,30,0,11,0,1,0,18,0,132
13-10,11411,15,0,0,0,0,0,15,0,27
13-10,11412,19,0,7,0,2,0,10,0,65
13-10,11413,37,0,3,0,0,0,34,0,88
13-10,11414,10,0,3,0,1,0,6,0,33
13-10,11415,3,0,2,0,1,0,0,0,32
13-10,11416,21,0,1,0,0,0,20,0,47
13-10,11417,20,0,1,0,1,0,18,0,61
13-10,11418,11,0,3,0,1,0,7,0,73
13-10,11419,22,0,6,0,5,0,11,0,72
13-10,11420,33,0,1,0,0,0,32,0,79
13-10,11421,15,0,1,0,3,0,11,0,50
13-10,11422,25,0,4,0,0,0,21,0,78
13-10,11423,10,0,3,0,1,0,6,0,44
13-10,11426,12,0,0,0,0,0,12,0,34
13-10,11427,7,0,2,0,0,0,5,0,35
13-10,11428,17,0,0,0,0,0,17,0,41
13-10,11429,20,0,5,0,0,0,15,0,37
13-10,11432,18,0,6,0,1,0,11,0,108
13-10,11433,17,1,4,1,1,0,12,0,63
13-10,11434,56,0,9,0,1,0,46,0,134
13-10,11435,27,0,5,0,1,0,21,0,72
13-10,11436,9,0,1,0,0,0,8,0,25
13-10,11691,24,0,5,0,0,0,19,0,60
13-10,11692,0,0,0,0,0,0,0,0,12
13-10,11693,4,0,0,0,0,0,4,0,8
13-10,11694,5,0,1,0,3,0,1,0,15
13-10,11697,0,0,0,0,0,0,0,0,1
13-11,10000,0,0,0,0,0,0,0,0,1
13-11,10001,17,0,7,0,1,0,9,0,168
13-11,10002,31,0,5,0,5,0,21,0,173
13-11,10003,26,0,11,0,7,0,8,0,104
13-11,10004,2,0,2,0,0,0,0,0,15
13-11,10005,0,0,0,0,0,0,0,0,10
13-11,10006,4,0,1,0,0,0,3,0,25
13-11,10007,4,0,4,0,0,0,0,0,51
13-11,10009,13,1,4,1,4,0,5,0,47
13-11,10010,20,0,7,0,4,0,9,0,89
13-11,10011,25,0,12,0,4,0,9,0,110
13-11,10012,14,0,4,0,5,0,5,0,96
13-11,10013,14,1,5,1,2,0,7,0,154
13-11,10014,14,0,2,0,4,0,8,0,81
13-11,10016,39,0,19,0,3,0,17,0,197
13-11,10017,22,1,11,1,3,0,8,0,151
13-11,10018,9,0,4,0,2,0,3,0,115
13-11,10019,27,0,12,0,2,0,13,0,209
13-11,10020,1,0,0,0,1,0,0,0,13
13-11,10021,9,0,5,0,2,0,2,0,84
13-11,10022,30,0,3,0,10,0,17,0,191
13-11,10023,19,1,8,0,3,0,8,1,101
13-11,10024,15,0,6,0,2,0,7,0,100
13-11,10025,18,0,8,0,1,0,9,0,89
13-11,10026,8,0,2,0,3,0,3,0,35
13-11,10027,18,1,7,1,2,0,9,0,84
13-11,10028,15,0,7,0,0,0,8,0,75
13-11,10029,26,1,10,1,4,0,12,0,99
13-11,10030,8,0,5,0,1,0,2,0,39
13-11,10031,17,0,7,0,0,0,10,0,61
13-11,10032,12,0,4,0,1,0,7,0,65
13-11,10033,18,0,8,0,1,0,9,0,65
13-11,10034,15,0,9,0,0,0,6,0,51
13-11,10035,30,0,13,0,0,0,17,0,103
13-11,10036,26,0,9,0,4,0,13,0,194
13-11,10037,6,0,0,0,1,0,5,0,31
13-11,10038,7,0,2,0,1,0,4,0,41
13-11,10039,14,0,4,0,0,0,10,0,20
13-11,10040,8,0,2,0,1,0,5,0,31
13-11,10065,12,0,8,0,4,0,0,0,120
13-11,10069,0,0,0,0,0,0,0,0,1
13-11,10075,10,0,6,0,1,0,3,0,41
13-11,10119,2,0,1,0,0,0,1,0,3
13-11,10128,8,1,5,1,2,0,1,0,86
13-11,10280,0,0,0,0,0,0,0,0,1
13-11,10282,1,0,1,0,0,0,0,0,2
13-11,10301,10,0,4,0,0,0,6,0,80
13-11,10302,3,0,0,0,0,0,3,0,2
13-11,10304,31,0,6,0,0,0,25,0,83
13-11,10305,29,0,5,0,1,0,23,0,87
13-11,10306,29,0,4,0,0,0,25,0,106
13-11,10307,4,0,1,0,0,0,3,0,8
13-11,10308,9,0,0,0,0,0,9,0,35
13-11,10309,16,0,0,0,0,0,16,0,50
13-11,10310,4,0,1,0,0,0,3,0,41
13-11,10312,17,0,2,0,0,0,15,0,87
13-11,10314,3,0,2,0,0,0,1,0,28
13-11,10451,19,0,7,0,0,0,12,0,73
13-11,10452,27,0,4,0,0,0,23,0,71
13-11,10453,30,0,8,0,1,0,21,0,73
13-11,10454,26,1,2,1,1,0,23,0,63
13-11,10455,21,0,2,0,1,0,18,0,57
13-11,10456,23,0,9,0,1,0,13,0,66
13-11,10457,26,0,13,0,0,0,13,0,73
13-11,10458,34,0,9,0,1,0,24,0,86
13-11,10459,33,0,15,0,1,0,17,0,83
13-11,10460,37,0,14,0,0,0,23,0,90
13-11,10461,18,0,8,0,0,0,10,0,68
13-11,10462,30,0,5,0,2,0,23,0,83
13-11,10463,14,1,4,0,0,0,10,1,62
13-11,10464,1,0,0,0,0,0,1,0,6
13-11,10465,15,0,5,0,0,0,10,0,41
13-11,10466,27,2,5,2,0,0,22,0,86
13-11,10467,19,0,9,0,0,0,10,0,117
13-11,10468,32,1,7,1,0,0,25,0,93
13-11,10469,22,0,1,0,0,0,21,0,70
13-11,10470,14,0,2,0,0,0,12,0,34
13-11,10471,3,0,1,0,0,0,2,0,16
13-11,10472,30,0,12,0,1,0,17,0,71
13-11,10473,16,0,3,0,0,0,13,0,55
13-11,10474,5,1,3,1,0,0,2,0,31
13-11,10475,12,0,4,0,1,0,7,0,42
13-11,11001,2,0,0,0,0,0,2,0,6
13-11,11004,7,0,1,0,0,0,6,0,34
13-11,11040,0,0,0,0,0,0,0,0,2
13-11,11101,36,0,8,0,3,0,25,0,187
13-11,11102,4,0,3,0,0,0,1,0,34
13-11,11103,9,0,3,0,1,0,5,0,47
13-11,11104,15,0,2,0,2,0,11,0,34
13-11,11105,8,0,5,0,1,0,2,0,41
13-11,11106,16,0,7,0,1,0,8,0,52
13-11,11109,0,0,0,0,0,0,0,0,1
13-11,11201,44,0,16,0,2,0,26,0,175
13-11,11203,54,0,9,0,3,0,42,0,144
13-11,11204,32,0,7,0,5,0,20,0,108
13-11,11205,23,1,7,1,4,0,12,0,68
13-11,11206,58,0,18,0,9,0,31,0,124
13-11,11207,95,0,16,0,4,0,75,0,223
13-11,11208,66,1,8,1,7,0,51,0,125
13-11,11209,26,0,7,0,1,0,18,0,77
13-11,11210,29,1,8,1,2,0,19,0,95
13-11,11211,43,0,12,0,7,0,24,0,129
13-11,11212,46,0,13,0,3,0,30,0,152
13-11,11213,65,0,17,0,4,0,44,0,114
13-11,11214,14,0,6,0,2,0,6,0,89
13-11,11215,21,0,5,0,2,0,14,0,94
13-11,11216,36,0,10,0,5,0,21,0,131
13-11,11217,28,0,9,0,4,0,15,0,117
13-11,11218,22,0,10,0,1,0,11,0,100
13-11,11219,32,0,16,0,2,0,14,0,117
13-11,11220,29,0,11,0,0,0,18,0,127
13-11,11221,37,0,6,0,3,0,28,0,97
13-11,11222,11,0,6,0,3,0,2,0,71
13-11,11223,38,0,8,0,3,0,27,0,113
13-11,11224,17,0,5,0,0,0,12,0,50
13-11,11225,32,0,6,0,3,0,23,0,118
13-11,11226,54,0,19,0,6,0,29,0,163
13-11,11228,9,0,1,0,0,0,8,0,50
13-11,11229,41,0,6,0,3,0,32,0,106
13-11,11230,35,0,9,0,3,0,23,0,139
13-11,11231,7,0,3,0,1,0,3,0,53
13-11,11232,23,0,3,0,2,0,18,0,83
13-11,11233,40,0,13,0,2,0,25,0,108
13-11,11234,29,0,11,0,0,0,18,0,121
13-11,11235,40,1,8,0,2,0,30,1,114
13-11,11236,46,0,8,0,2,0,36,0,132
13-11,11237,35,0,4,0,4,0,27,0,74
13-11,11238,42,0,8,0,8,0,26,0,106
13-11,11239,1,0,1,0,0,0,0,0,13
13-11,11249,11,0,2,0,2,0,7,0,44
13-11,11354,21,0,12,0,0,0,9,0,128
13-11,11355,24,0,14,0,1,0,9,0,116
13-11,11356,8,1,2,1,0,0,6,0,36
13-11,11357,6,0,4,0,0,0,2,0,35
13-11,11358,10,0,4,0,1,0,5,0,61
13-11,11360,3,0,1,0,0,0,2,0,17
13-11,11361,22,0,3,0,0,0,19,0,57
13-11,11362,2,0,0,0,0,0,2,0,24
13-11,11363,0,0,0,0,0,0,0,0,18
13-11,11364,5,0,0,0,0,0,5,0,37
13-11,11365,5,0,1,0,0,0,4,0,51
13-11,11366,6,0,1,0,0,0,5,0,30
13-11,11367,15,1,6,1,0,0,9,0,72
13-11,11368,21,0,9,0,3,0,9,0,83
13-11,11369,15,0,2,0,0,0,13,0,44
13-11,11370,15,0,2,0,1,0,12,0,49
13-11,11372,18,0,6,0,3,0,9,0,89
13-11,11373,38,2,20,2,2,0,16,0,154
13-11,11374,15,0,9,0,2,0,4,0,75
13-11,11375,21,0,9,0,0,0,12,0,100
