hour,ym,count
11,08/01/2015,808
11,08/01/2016,694
11,08/01/2017,635
11,09/01/2012,718
11,09/01/2013,684
11,09/01/2014,781
11,09/01/2015,700
11,09/01/2016,650
11,09/01/2017,579
11,10/01/2012,750
11,10/01/2013,710
11,10/01/2014,755
11,10/01/2015,835
11,10/01/2016,674
11,10/01/2017,565
11,11/01/2012,668
11,11/01/2013,793
11,11/01/2014,676
11,11/01/2015,761
11,11/01/2016,646
11,11/01/2017,657
11,12/01/2012,734
11,12/01/2013,683
11,12/01/2014,655
11,12/01/2015,731
11,12/01/2016,657
11,12/01/2017,670
12,01/01/2013,667
12,01/01/2014,782
12,01/01/2015,753
12,01/01/2016,761
12,01/01/2017,586
12,01/01/2018,655
12,02/01/2013,609
12,02/01/2014,742
12,02/01/2015,612
12,02/01/2016,717
12,02/01/2017,563
12,02/01/2018,604
12,03/01/2013,740
12,03/01/2014,693
12,03/01/2015,762
12,03/01/2016,754
12,03/01/2017,741
12,03/01/2018,696
12,04/01/2013,719
12,04/01/2014,752
12,04/01/2015,763
12,04/01/2016,849
12,04/01/2017,623
12,04/01/2018,35
12,05/01/2013,847
12,05/01/2014,765
12,05/01/2015,830
12,05/01/2016,839
12,05/01/2017,758
12,06/01/2013,855
12,06/01/2014,831
12,06/01/2015,821
12,06/01/2016,752
12,06/01/2017,739
12,07/01/2012,787
12,07/01/2013,774
12,07/01/2014,764
12,07/01/2015,794
12,07/01/2016,797
12,07/01/2017,690
12,08/01/2012,800
12,08/01/2013,712
12,08/01/2014,793
12,08/01/2015,837
12,08/01/2016,747
12,08/01/2017,629
12,09/01/2012,787
12,09/01/2013,720
12,09/01/2014,785
12,09/01/2015,815
12,09/01/2016,642
12,09/01/2017,649
12,10/01/2012,753
12,10/01/2013,754
12,10/01/2014,771
12,10/01/2015,834
12,10/01/2016,743
12,10/01/2017,683
12,11/01/2012,694
12,11/01/2013,776
12,11/01/2014,755
12,11/01/2015,774
12,11/01/2016,670
12,11/01/2017,671
12,12/01/2012,734
12,12/01/2013,752
12,12/01/2014,713
12,12/01/2015,799
12,12/01/2016,702
12,12/01/2017,732
13,01/01/2013,727
13,01/01/2014,806
13,01/01/2015,788
13,01/01/2016,855
13,01/01/2017,713
13,01/01/2018,685
13,02/01/2013,666
13,02/01/2014,794
13,02/01/2015,680
13,02/01/2016,745
13,02/01/2017,610
13,02/01/2018,625
13,03/01/2013,784
13,03/01/2014,787
13,03/01/2015,897
13,03/01/2016,852
13,03/01/2017,728
13,03/01/2018,741
13,04/01/2013,769
13,04/01/2014,773
13,04/01/2015,772
13,04/01/2016,767
13,04/01/2017,707
13,04/01/2018,64
13,05/01/2013,914
13,05/01/2014,773
13,05/01/2015,821
13,05/01/2016,857
13,05/01/2017,777
13,06/01/2013,836
13,06/01/2014,888
13,06/01/2015,840
13,06/01/2016,748
13,06/01/2017,822
13,07/01/2012,800
13,07/01/2013,842
13,07/01/2014,858
13,07/01/2015,918
13,07/01/2016,810
13,07/01/2017,759
13,08/01/2012,905
13,08/01/2013,802
13,08/01/2014,821
13,08/01/2015,879
13,08/01/2016,736
13,08/01/2017,749
13,09/01/2012,789
13,09/01/2013,765
13,09/01/2014,792
13,09/01/2015,851
13,09/01/2016,684
13,09/01/2017,683
13,10/01/2012,789
13,10/01/2013,820
13,10/01/2014,842
13,10/01/2015,885
13,10/01/2016,702
13,10/01/2017,713
13,11/01/2012,775
13,11/01/2013,864
13,11/01/2014,759
13,11/01/2015,796
13,11/01/2016,699
13,11/01/2017,687
13,12/01/2012,766
13,12/01/2013,872
13,12/01/2014,811
13,12/01/2015,850
13,12/01/2016,695
13,12/01/2017,762
14,01/01/2013,778
14,01/01/2014,836
14,01/01/2015,861
14,01/01/2016,1018
14,01/01/2017,776
14,01/01/2018,822
14,02/01/2013,776
14,02/01/2014,843
14,02/01/2015,774
14,02/01/2016,882
14,02/01/2017,723
14,02/01/2018,712
14,03/01/2013,874
14,03/01/2014,815
14,03/01/2015,1043
14,03/01/2016,955
14,03/01/2017,897
14,03/01/2018,863
14,04/01/2013,919
14,04/01/2014,869
14,04/01/2015,916
14,04/01/2016,950
14,04/01/2017,835
14,04/01/2018,50
14,05/01/2013,1027
14,05/01/2014,975
14,05/01/2015,1032
14,05/01/2016,942
14,05/01/2017,908
14,06/01/2013,928
14,06/01/2014,1019
14,06/01/2015,984
14,06/01/2016,905
14,06/01/2017,954
14,07/01/2012,899
14,07/01/2013,952
14,07/01/2014,896
14,07/01/2015,986
14,07/01/2016,888
14,07/01/2017,869
14,08/01/2012,930
14,08/01/2013,914
14,08/01/2014,924
14,08/01/2015,957
14,08/01/2016,870
14,08/01/2017,781
14,09/01/2012,856
14,09/01/2013,845
14,09/01/2014,967
14,09/01/2015,940
14,09/01/2016,871
14,09/01/2017,727
14,10/01/2012,947
14,10/01/2013,985
14,10/01/2014,935
14,10/01/2015,1058
14,10/01/2016,815
14,10/01/2017,815
14,11/01/2012,828
14,11/01/2013,913
14,11/01/2014,857
14,11/01/2015,956
14,11/01/2016,817
14,11/01/2017,841
14,12/01/2012,863
14,12/01/2013,928
14,12/01/2014,870
14,12/01/2015,998
14,12/01/2016,833
14,12/01/2017,896
15,01/01/2013,731
15,01/01/2014,743
15,01/01/2015,763
15,01/01/2016,883
15,01/01/2017,676
15,01/01/2018,800
15,02/01/2013,695
15,02/01/2014,727
15,02/01/2015,726
15,02/01/2016,721
15,02/01/2017,654
15,02/01/2018,683
15,03/01/2013,757
15,03/01/2014,764
15,03/01/2015,886
15,03/01/2016,903
15,03/01/2017,825
15,03/01/2018,793
15,04/01/2013,812
15,04/01/2014,769
15,04/01/2015,795
15,04/01/2016,892
15,04/01/2017,714
15,04/01/2018,60
15,05/01/2013,941
15,05/01/2014,867
15,05/01/2015,892
15,05/01/2016,951
15,05/01/2017,839
15,06/01/2013,810
15,06/01/2014,928
15,06/01/2015,887
15,06/01/2016,784
15,06/01/2017,843
